Molecule	Protein	Gene	UniProt	C1	C2	C3	C4	C5	C8	C9	C11	C14	C15	C16	C17	C18	C19	C20	C21	C24	C25	C26	C27	P1	P2	P4	P6	P9	P11	P13	P17	P18	P19	P20	P21	P24	P25	P27	P28	P29	P30	P31	P32
10000-28	CRBB2	CRYBB2	P43320	474.1	585.7	518.6	594.9	587.9	533.5	520.3	542.8	535.7	435.5	541.6	682.5	516.9	1302.7	516.4	766.3	527.6	451.1	486.6	499.7	559.4	457.3	40002.1	482.1	492.2	483.2	550	1557	479.5	482.3	502.8	533	1502.8	486.4	486.7	507.6	514.8	469.4	469.4	740.4
10001-7	c-Raf	RAF1	P04049	217.7	227.2	224.6	227.8	191.4	234.5	201.3	211.3	231.8	264.6	278.7	280.4	235.9	234.4	247.2	231.2	289.7	285.1	273.2	231.5	241.4	245.6	190.8	222.4	222.4	248.3	293.9	326.8	227.3	242.3	259.5	246.2	292.5	223.7	201.8	225.9	203.2	237.8	236.2	209.1
10003-15	ZNF41	ZNF41	P51814	116.2	129.2	194.1	106.9	229.1	149.8	109.6	113.4	122.1	117.6	558.7	111.8	113.4	148	140	184.3	801.1	100	114.5	106.6	91	104.1	199.9	135.1	98.6	90.7	133.6	118.3	815.7	111.3	111.2	107	97.4	115.6	125.4	109.6	159.2	107.9	128.2	120.8
10006-25	ELK1	ELK1	P19419	629.5	598.7	454.7	623.2	589.2	557.2	564.9	504.1	590	595.9	588.8	668.6	572.1	543.3	651.3	603.9	582.7	653.3	604.1	611.8	680.3	613.3	587.2	618.2	554.5	628.8	614.9	817	583.7	556.8	2606.7	1733.1	1024.1	542.6	543.3	581.3	559.9	582.4	555.2	529.6
10008-43	GUC1A	GUCA1A	P43080	499.3	448.9	412.1	514.7	453.6	416.6	439.6	445.7	528.4	479.9	316.3	566.6	519.5	1421	529.3	353.6	489.7	551.4	460.9	613.6	470.2	587	451.6	581.1	469.8	456.7	480.4	511.2	515.1	412.3	571.2	550.9	631.5	412	661.3	460	397.3	511.9	461.4	517.8
10011-65	OCRL	OCRL	Q01968	2207.5	2753	2342.1	2290	4069.8	2343.9	2715.8	2143.4	2240.5	2204	1963.7	2488.9	2144.2	2041.8	2543.8	2142.6	2484.1	1988.5	2487.7	2146.2	2222.8	2753.5	3271.3	2102.5	2479.2	2635.7	2050.3	2296.5	3157.2	2496.2	5064.9	2430	3821.1	2146.6	3462.5	2654.1	2389.4	2303.6	2592.8	3000.4
10012-5	SPDEF	SPDEF	O95238	1914.9	1689.7	1851.2	1930	2181.8	1575.9	1988	1748.9	1746.8	1534.6	1673.6	1347.3	1479.7	1574.7	1497.1	2011	1463.5	1427.1	1776.2	1360.5	1340.2	2132	2590.3	1467.4	1512.2	1533.3	1464.3	1511.7	1989.6	1620.5	1396.1	1310.8	1598.5	1602.2	2128.5	1708.4	1822.6	1753.9	1609.8	1831.7
10013-34	Fc_MOUSE		Q99LC4	520.3	514.4	572.6	529.2	597.3	447.1	546.7	528.5	511.1	487.6	464.1	424.5	460.6	519	458.4	595.6	527.5	420.5	470	454.1	421.8	501.1	768.1	443.1	463.3	612.1	430.9	437.5	533.1	485.2	516.9	444.5	520.3	486.1	643	486.3	571.8	4417	502.2	569.7
10014-31	SLUG	SNAI2	O43623	789.4	863.5	786.8	817.2	925.6	786.1	849.2	856.1	771.5	766.6	735.6	729.9	895.5	862.2	834.8	853.5	836.5	842.4	785.4	801.1	769.4	786.2	964.4	867.7	758.8	751.6	777.7	826.2	851.5	847.7	821.8	6034	958.8	804.7	1040.6	919	915.6	1019	981.2	819.4
10015-119	KCAB2	KCNAB2	Q13303	433	456.9	443.1	484.4	403.7	603.3	464.1	447.3	447.8	491.7	502.5	454.8	549.3	549.7	473.9	467	445.8	481.9	444.9	466.2	530.4	483.1	450.7	436.2	473.5	499.5	530.1	626.6	419.4	439.9	477.9	539.9	527.8	455.3	428.8	505.1	434	461.1	490.7	443.8
10021-1	Fc_MOUSE		Q99LC4	1462.5	1104.5	971.8	853.3	903.7	1005.5	1182	924	916.4	950.7	1099	729.3	801	854.3	881.6	1379.1	822.6	725.9	872.9	906.6	814.2	734.6	1100.9	788.8	911.7	855.3	887.5	1151.6	1060.7	831.4	939	2223.3	754.6	886.3	849.4	838.3	970.1	849.9	816.7	912
10022-207	POLH	POLH	Q9Y253	289.7	180.8	121.9	158.6	168.7	149.2	141.6	132.1	176.4	148.7	116.5	178.9	175.9	156.6	161.7	109.5	178.5	170.4	139	181.3	202.2	184.4	156.3	168.3	146.1	163.9	138.9	188.5	144.5	157.8	197.2	249.6	191.5	182.7	258.2	168.3	168.2	163.3	149	490.2
10023-32	VDR	VDR	P11473	531.5	526.5	631.4	511.4	618.7	502.9	558.8	600.1	590	522.8	547.3	445.8	552.9	535.4	477.5	766.6	440.4	379.8	487.6	461.9	405.8	453.6	806.1	415.3	467.1	443.3	499.2	442.7	476.7	543.9	429.2	435.3	496.5	535.8	607.7	499	635.3	559.4	616.3	586.5
10024-44	HOGA1	HOGA1	Q86XE5	1016.8	950.8	994.5	979	906	848.9	980.7	931.2	905.3	816.9	926.1	798.1	805.9	834.3	810.1	1098.9	922.7	707	884.1	688.9	806.4	757.3	1128.6	801.4	1024.1	820.5	857.7	888	836.9	839.3	747.3	760.3	808.9	874.9	1059.9	854.7	904.4	811.2	806.3	870.9
10030-8	MutY homolog	MUTYH	Q9UIF7	129.7	141.9	135.8	138.6	327.1	183	144.8	142	146.2	147.3	123.4	149.9	181.3	146	163.9	239.7	151.3	194	172	180.6	178.8	181.8	165.6	164.3	193.7	184	143.8	148.8	138	143.2	164.7	295.3	152	147.5	144.3	138.4	144.1	137.2	187.3	136.7
10034-16	Fc_MOUSE		Q99LC4	2976.7	2326.6	2804.1	2681.9	3898.3	2569.3	2820.4	2279	2785.5	2263.6	1848.5	2172.2	2983.1	2401.7	2103.3	2107.7	2612.5	2071.5	2575.1	2138.6	1892.1	2411.1	3953.3	2739.1	2403.3	2716.5	2242.1	2488.2	2942	2914.3	3182.4	2045.2	2762.4	2638.7	3023.7	2674.3	3002.1	2544.7	2783.1	3014.1
10035-6	DUS4	DUSP4	Q13115	1365.2	557.2	581.5	601.4	6740.9	502.1	697.2	538.3	550.7	555.8	494.1	495	538.5	541.7	505.5	541	506.1	555.4	523	522.1	528.9	507.6	677.2	530.6	544.6	526	501.8	531.5	557.6	566.6	486.5	589.5	1562.4	542.7	771	517.5	569.6	530.3	518	534.7
10036-201	ZHX3	ZHX3	Q9H4I2	3862.5	3796.3	5192.8	3639.8	4401.1	3751.3	3503.7	3023.2	3437.1	2674	6716.1	2631.8	2484.2	2948.9	3139.4	8642.1	2715.8	2613.4	3461.2	2444.7	3031.6	2968.8	3951.4	3131.4	3293.1	3292.1	4713.3	3488.7	3564.7	3071.1	3012.6	3012	3111.8	3615.4	3362.3	3351.9	3303.6	3063.1	3205.4	2969.1
