#,Please Enter the Provided Username,What's your age?,What is your gender?,Have you eaten lettuce in the last six months?,How much do you enjoy eating lettuce?,Have you eaten cilantro in the last six months?,How much do you enjoy eating cilantro?,Have you eaten asparagus in the last six months?,How much do you enjoy eating asparagus?,Apple,Pineapple,Starfruit,What is your favorite meal？,What is your favorite climate？,Start Date (UTC),Submit Date (UTC),Network ID,Tags
edrtfuw84d9z1zcoedrtfu39muee1vpa,testuser30,45-54,Female,1,10,1,6,0,,Never had,Never had,Enjoy,Dinner,Hot and sunny,2023-07-20 16:25:25,2023-07-20 16:26:28,1d181f19c8,
icybudefkelplicybud5isir0m6069bj,testuser2,35-44,Male,1,6,0,,1,9,Dislike,Dislike,Dislike,Dinner,Hot and sunny,2023-07-20 16:23:40,2023-07-20 16:24:13,1d181f19c8,
on0vbconhqnkmxa2bq3don0vbcejpnws,testuser1,18-24,Other,0,,1,3,1,6,Enjoy,Enjoy,Enjoy,Dinner,Hot and sunny,2023-07-20 15:56:15,2023-07-20 15:56:47,1d181f19c8,
luaj1ze84g8r8frpc8luaj1qk2v5t06h,Admin,18-24,Other,0,,1,5,1,2,Enjoy,Enjoy,Enjoy,Dinner,Hot and sunny,2023-07-20 15:44:48,2023-07-20 15:45:20,1d181f19c8,
q1iaoz4y07tuth62bq1iaozotb1v8nff,None,65+,Other,0,,1,5,0,,Never had,Dislike,Never had,Dinner,Hot and sunny,2023-07-20 15:31:53,2023-07-20 15:32:23,1d181f19c8,
cmsdp754sc5us9gsfgtjcmsdpw8of63w,testuser21,25-34,Other,0,,1,1,1,9,Enjoy,Enjoy,Enjoy,Dinner,Having four distinct seasons,2023-07-20 15:25:39,2023-07-20 15:26:55,1d181f19c8,
wiwwz11k3c1qy6o3klo8umrwiwwz9tn4,testuser5,65+,Male,0,,1,10,1,7,Enjoy,Enjoy,Enjoy,Lunch,Having four distinct seasons,2023-07-20 15:14:03,2023-07-20 15:15:15,1d181f19c8,
tcgkfylivjfbys9p14tcgkfylirck3p6,testuser10,18-24,Male,0,,0,,0,,Enjoy,Enjoy,Enjoy,Breakfast,Having four distinct seasons,2023-07-20 15:06:20,2023-07-20 15:06:53,1d181f19c8,
ph23vqvgvj95xd7ph23vqfqx5n9s4zim,testuser10,18-24,Male,0,,0,,0,,Enjoy,Enjoy,Enjoy,Dinner,Having four distinct seasons,2023-07-20 15:04:22,2023-07-20 15:04:59,1d181f19c8,
s97ljp5apwcrtc3zs97pgrq47mbmbmdr,None,45-54,Male,1,8,1,2,0,,Enjoy,Enjoy,Never had,Lunch,Having four distinct seasons,2023-07-20 14:31:02,2023-07-20 14:31:24,1d181f19c8,
rrs7wxdjdxp9a6656mrrs7nincsmky54,Admin,55-64,Male,1,6,0,,1,8,Dislike,Never had,Enjoy,Lunch,Having four distinct seasons,2023-07-20 14:08:05,2023-07-20 14:08:31,1d181f19c8,
fndai5t8x8vuinc0j547jqfndai5tgku,None,25-34,Female,1,1,1,3,1,8,Enjoy,Enjoy,Never had,Breakfast,Having four distinct seasons,2023-07-18 01:29:19,2023-07-18 01:30:22,617a2bf830,
ywjv804ox0sqvsywjv87joci6v4p6var,Form-user8,25-34,Male,1,9,1,8,1,10,Enjoy,Enjoy,Never had,Lunch,Having four distinct seasons,2023-07-18 01:26:15,2023-07-18 01:27:53,617a2bf830,
95lm7fmwxxvfh9oay9l95lm77di4r6s3,Form-user1,25-34,Male,1,5,1,8,1,8,Enjoy,Enjoy,Enjoy,Breakfast,Having four distinct seasons,2023-07-18 00:33:37,2023-07-18 00:34:39,2d991147ec,
7y52nvr2v912c762n4cl7y52nvzh3vfb,form-user2,25-34,Male,1,10,1,10,1,6,Enjoy,Enjoy,Enjoy,Dinner,Having four distinct seasons,2023-07-18 00:28:53,2023-07-18 00:29:34,05af53bba6,
wobulc0gz1fm6z4y7il0wobulrk6ba0p,User4,55-64,Male,1,4,1,2,1,9,Enjoy,Enjoy,Never had,Dinner,Having four distinct seasons,2023-07-17 22:47:23,2023-07-17 22:48:59,5d621c52c2,
yvfcpbg2cxo4ci0yvfa26d5ysjlltreu,form-user7,25-34,Male,1,5,1,8,1,8,Dislike,Enjoy,Dislike,Lunch,Having four distinct seasons,2023-07-17 22:27:16,2023-07-17 22:28:15,20d746d3d7,
j8ubr7h4ysz3hxbmbuj8ubt4seq4jesh,User3,55-64,Female,1,5,1,2,0,,Enjoy,Enjoy,Never had,Dinner,Having four distinct seasons,2023-07-17 22:24:18,2023-07-17 22:25:30,5d621c52c2,
